election_id,district_name,district_id,source_page,source_url,source_sha256,candidate_order,candidate_name,party_raw,independent_status,party_family,first_preference_votes,formal_votes,district_reconciled
vic_la_2010,Benambra,benambra,173,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,2,"TILLEY, Bill",LIBERAL,False,Coalition,18424,32985,True
vic_la_2010,Benambra,benambra,173,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,3,"MACAULAY, Haden",COUNTRY ALLIANCE,False,Other/Independent,2241,32985,True
vic_la_2010,Benambra,benambra,173,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,4,"CAVEDON, Robert",FAMILY FIRST,False,Other/Independent,1125,32985,True
vic_la_2010,Benambra,benambra,173,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,5,"WILLIAMS, John",AUSTRALIAN LABOR PARTY,False,ALP,7537,32985,True
vic_la_2010,Bendigo East,bendigo-east,175,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,1,"LEUNIG, Rod",COUNTRY ALLIANCE,False,Other/Independent,1275,36667,True
vic_la_2010,Bendigo East,bendigo-east,175,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,2,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY,False,ALP,16079,36667,True
vic_la_2010,Bendigo East,bendigo-east,175,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,3,"HILLIER, Gary",SEX PARTY,False,Other/Independent,824,36667,True
vic_la_2010,Bendigo East,bendigo-east,175,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,4,"VEITZ, Ben",CHRISTIAN PARTY,False,Other/Independent,275,36667,True
vic_la_2010,Bendigo East,bendigo-east,175,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,5,"LANGDON, Michael",LIBERAL,False,Coalition,12864,36667,True
vic_la_2010,Bendigo East,bendigo-east,175,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,6,"GUERRA, Belinda",FAMILY FIRST,False,Other/Independent,447,36667,True
